mesh_7,mesh_code,LU06_AG,LU06_FO,LU06_WS,LU06_BU,LU06_TR,LU06_OT,LU06_WT,LU06_SH,LU06_OC,LU06_GO
4028431,40284322,0.759862779,0.090909091,0.013722127,0.075471698,0.006861063,0.025728988,0,0.012006861,0.015437393,0
4028432,40284327,0.799054374,0.075650118,0,0.066193853,0.009456265,0.009456265,0,0.026004728,0.014184397,0
4028433,40284372,0.676020408,0.12372449,0,0.100765306,0.011479592,0.05994898,0,0.014030612,0.014030612,0
4028434,40284377,0.850439883,0.090909091,0,0.020527859,0,0,0,0.017595308,0.020527859,0
4028743,40287472,0.659574468,0.021276596,0,0,0,0.021276596,0,0.14893617,0.14893617,0
4028744,40287477,0.225806452,0.016129032,0.016129032,0.177419355,0,0.241935484,0,0.209677419,0.112903226,0
4128041,41280422,0.583665339,0.363877822,0.003984064,0.029880478,0,0.002656042,0,0.005312085,0.01062417,0
4128042,41280427,0.543121582,0.367269668,0.013462347,0.053428692,0,0.009255364,0.001262095,0.009255364,0.002944889,0
4128043,41280472,0.756855576,0.113345521,0.070383912,0.02833638,0,0.013711152,0.000914077,0.003656307,0.012797075,0
4128044,41280477,0.689259645,0.211678832,0.056830031,0.026068822,0,0.006777894,0.003649635,0.000521376,0.005213764,0
4128051,41280522,0.708108108,0.075675676,0.032432432,0.102702703,0,0.016216216,0,0.043243243,0.021621622,0
4128053,41280572,0.798753894,0.061682243,0.004984424,0.091588785,0,0.023676012,0.002492212,0.007476636,0.009345794,0
4128151,41281522,0.810752688,0.006451613,0.047311828,0.101075269,0,0.008602151,0,0.002150538,0.023655914,0
4128152,41281527,0.683856502,0.015695067,0.121076233,0.051569507,0,0.098654709,0.00896861,0.006726457,0.013452915,0
4128373,41283772,0.8,0,0.133333333,0,0,0,0,0,0.066666667,0
4128374,41283777,0.7375,0,0.1625,0,0,0,0,0,0.1,0
4128471,41284722,0.793908629,0.111675127,0.030456853,0.033502538,0.004060914,0.003045685,0,0.007106599,0.016243655,0
4128472,41284727,0.664794007,0.261048689,0.01835206,0.028464419,0.001872659,0.007116105,0.007490637,0.00411985,0.006741573,0
4128473,41284772,0.721854305,0.188741722,0.057710501,0.021759697,0,0.002365184,0.001419111,0.000946074,0.005203406,0
4128474,41284777,0.492349541,0.47466848,0.022101326,0.007480449,0.001360082,0.002040122,0,0,0,0
4128571,41285722,0.616355653,0.253018661,0.065312843,0.020307355,0.00219539,0.027991218,0.00219539,0.004939627,0.007683864,0
4128572,41285727,0.144361413,0.783967391,0.063519022,0.000679348,0,0.002377717,0.005095109,0,0,0
4128573,41285772,0.664426711,0.245275094,0.01049979,0.03947921,0.005039899,0.019319614,0.004619908,0.002939941,0.008399832,0
4128574,41285777,0.434552454,0.48267565,0.021655438,0.037536092,0.003368624,0.004331088,0.001443696,0.008180943,0.006256015,0
4128671,41286722,0.372692143,0.549162731,0.011592958,0.028767711,0.004723057,0.020180335,0.000858738,0.005152426,0.006869901,0
4128672,41286727,0.36422882,0.559739319,0.023171615,0.015206372,0.004344678,0.008689356,0,0.014482259,0.010137581,0
4128673,41286772,0.267707083,0.636254502,0.025210084,0.027611044,0,0.00240096,0,0.031212485,0.009603842,0
4128674,41286777,0.183144246,0.722852512,0.016207455,0.008103728,0.011345219,0.003241491,0,0.037277147,0.017828201,0
4128772,41287727,0,0,0,0,0,0,0,1,0,0
4129401,41294022,0.408163265,0.040816327,0.244897959,0.020408163,0.081632653,0,0,0,0.204081633,0
4129403,41294072,0.566866267,0.158682635,0.052894212,0.115768463,0.005988024,0.062874251,0.003992016,0.005988024,0.026946108,0
4129501,41295022,0.525018671,0.333831217,0.062733383,0.034353996,0.002240478,0.019417476,0.002240478,0.012696042,0.00746826,0
4129503,41295072,0.666666667,0.166666667,0,0.111111111,0.018518519,0,0,0.037037037,0,0
4129723,41297272,0,0,0,0,0,0,0,0,1,0
4229011,42290122,0.027522936,0.871559633,0.055045872,0,0,0,0,0.012844037,0.033027523,0
4229012,42290127,0.01965924,0.880733945,0.027522936,0.014416776,0,0,0,0.014416776,0.043250328,0
4229013,42290172,0.027713626,0.833718245,0.043879908,0.020785219,0,0.006928406,0,0.036951501,0.030023095,0
4229014,42290177,0,0.865470852,0.062780269,0,0,0,0,0.01793722,0.053811659,0
4229111,42291122,0,0.82,0,0,0,0,0,0.02,0.16,0
4229112,42291127,0.013084112,0.875700935,0.047663551,0.011214953,0.008411215,0.003738318,0,0.009345794,0.030841121,0
4229113,42291172,0,0.714285714,0.047619048,0,0,0,0,0.095238095,0.142857143,0
4229114,42291177,0.004179104,0.931343284,0.023880597,0.016119403,0,0.00119403,0,0.00358209,0.019701493,0
4229211,42292122,0,0.779342723,0.093896714,0.014084507,0,0,0,0.018779343,0.093896714,0
4229212,42292127,0.00861141,0.921420883,0.018299247,0.00861141,0,0,0,0,0.043057051,0
4229213,42292172,0,0.868148148,0.094814815,0.004444444,0.001481481,0.001481481,0,0.001481481,0.028148148,0
4229214,42292177,0.018066406,0.899414063,0.063964844,0.002929688,0.001953125,0.000488281,0,0.000488281,0.012695313,0
4229311,42293122,0.001730104,0.871972318,0.088235294,0.006920415,0,0,0,0.008650519,0.022491349,0
4229312,42293127,0.015884477,0.868592058,0.060649819,0.012274368,0.000722022,0.002166065,0,0.007942238,0.031768953,0
4229313,42293172,0,0.808510638,0.095744681,0,0,0,0,0.010638298,0.085106383,0
4229314,42293177,0.002114165,0.818181818,0.108879493,0.00845666,0.013742072,0.00422833,0.009513742,0.005285412,0.029598309,0
4229021,42290222,0.036053131,0.80455408,0.077798861,0.015180266,0,0.0056926,0,0.022770398,0.037950664,0
4229023,42290272,0,0.91283293,0.014527845,0.002421308,0,0,0,0.007263923,0.062953995,0
4229024,42290277,0.015974441,0.801916933,0.099041534,0.003194888,0,0,0,0.041533546,0.038338658,0
4229121,42291222,0.026153846,0.927179487,0.013333333,0.013333333,0,0.001025641,0,0.001025641,0.017948718,0
4229122,42291227,0.038246269,0.819962687,0.068097015,0.019589552,0.001865672,0,0,0.01119403,0.041044776,0
4229123,42291272,0.001104972,0.870718232,0.003314917,0.050828729,0.005524862,0.003314917,0,0.001104972,0.064088398,0
4229124,42291277,0.028735632,0.818965517,0.063218391,0.045402299,0.007471264,0.006321839,0.005172414,0.003448276,0.021264368,0
4229221,42292222,0.016738996,0.926844389,0.016738996,0.006819591,0.005579665,0.003099814,0,0,0.024178549,0
4229222,42292227,0.028264758,0.928801431,0.017173524,0.008586762,0.010375671,0,0,0.000357782,0.004651163,0.001788909
4229223,42292272,0.025991189,0.926872247,0.012334802,0.010132159,0.007048458,0.002643172,0,0,0.014977974,0
4229224,42292277,0.002735978,0.982900137,0.001025992,0.000341997,0.012311902,0.000341997,0.000341997,0,0,0
4229321,42293222,0.045514223,0.866520788,0.03107221,0.01750547,0.008752735,0.012691466,0.004376368,0,0.01356674,0
4229322,42293227,0.00239644,0.962341664,0.030469017,0.000684697,0.003423485,0.000684697,0,0,0,0
4229323,42293272,0.009803922,0.881944444,0.089052288,0.003676471,0.011029412,0.000408497,0,0.000816993,0.003267974,0
4229324,42293277,0.005477576,0.924683328,0.058883944,0,0.006162273,0.004792879,0,0,0,0
4229421,42294222,0,0.578947368,0,0,0,0,0,0.157894737,0.263157895,0
4229422,42294227,0.02013809,0.86306099,0.070771001,0.014959724,0.009205984,0.006904488,0,0.005178366,0.009781358,0
4229131,42291322,0,0.616666667,0.216666667,0,0,0,0,0.116666667,0.05,0
4229133,42291372,0.038647343,0.589371981,0.280193237,0.019323671,0,0.004830918,0,0,0.06763285,0
4229231,42292322,0.009476309,0.933665835,0.039401496,0.005486284,0,0.000498753,0,0.002992519,0.008478803,0
4229232,42292327,0,0.5,0.432989691,0,0,0,0,0.015463918,0.051546392,0
4229233,42292372,0.007809595,0.968017851,0.007809595,0.003346969,0.00409074,0.002231313,0.000371885,0.000371885,0.005950167,0
4229234,42292377,0.03960396,0.742574257,0.165841584,0.012376238,0.002475248,0.002475248,0.007425743,0.001237624,0.025990099,0
4229331,42293322,0.027739726,0.908219178,0.029109589,0.003767123,0.013356164,0.004109589,0.012671233,0.000684932,0.000342466,0
4229332,42293327,0.019379845,0.88372093,0.014211886,0.005167959,0.005167959,0.002583979,0.005167959,0,0.064599483,0
4229333,42293372,0.023630137,0.968835616,0.000684932,0.001369863,0,0.001027397,0.004452055,0,0,0
4229334,42293377,0.029021856,0.919383733,0.008599068,0.005016123,0.015764959,0.004657829,0.001074884,0.003224651,0.013256897,0
4229431,42294322,0.020368947,0.930822444,0.021137586,0.008455035,0.003843198,0.005764796,0.003843198,0.001537279,0.004227517,0
4229432,42294327,0.007882111,0.943454421,0.025017135,0.01439342,0.002056203,0.0003427,0.00685401,0,0,0
4229433,42294372,0.03286385,0.849765258,0.046948357,0.016431925,0.007042254,0,0,0.025821596,0.021126761,0
4229434,42294377,0.040206778,0.697874785,0.059735784,0.120620333,0.020103389,0.04078116,0.00229753,0.004020678,0.014359563,0
4229343,42293472,0.169308357,0.729827089,0.029538905,0.020172911,0.00648415,0.004322767,0.011527378,0.011527378,0.017291066,0
4229441,42294422,0.025042882,0.910806175,0.037392796,0.014751286,0.005831904,0.005488851,0.000343053,0,0.000343053,0
4229442,42294427,0.051114024,0.849279161,0.035386632,0.023591088,0,0.009174312,0.009174312,0.007863696,0.014416776,0
4229443,42294472,0.017167382,0.787748732,0.081935232,0.046429965,0.015996879,0.023800234,0.003121342,0,0.007413188,0.016387046
4229444,42294477,0.178430513,0.700131521,0.05523893,0.02192021,0.011836914,0.015782552,0.005699255,0.006137659,0.004822446,0
4229541,42295422,0.063169769,0.730400451,0.12464749,0.013536379,0.008460237,0.009024253,0.001692047,0.003948111,0.010152284,0.034968979
4229542,42295427,0.054739653,0.861148198,0.032042724,0.017801513,0.002225189,0.011570984,0.001335113,0.007565643,0.011570984,0
4229543,42295472,0,0.888888889,0,0,0,0,0,0,0.111111111,0
4229544,42295477,0.007374631,0.926253687,0.016224189,0.014749263,0.008849558,0.010324484,0,0,0.016224189,0
4229453,42294572,0.31185567,0.469072165,0.041237113,0.055412371,0.027061856,0.024484536,0,0.043814433,0.027061856,0
4229454,42294577,0.206896552,0,0,0.24137931,0.137931034,0.172413793,0,0.206896552,0.034482759,0
4229551,42295522,0.253459119,0.608176101,0.025786164,0.03836478,0.011320755,0.01572327,0.01509434,0.010691824,0.021383648,0
4229552,42295527,0.477440525,0.311730927,0.019688269,0.023789992,0.015586546,0.130434783,0.002461034,0.004101723,0.014766202,0
